,Dementia_n,Dementia_p,Dementia_l
95,RORA,3.2746501128310153e-59,0.08128226
210,BMPR2,1.2483032930834928e-25,0.07789602
860,RORB,0.09263241937110196,0.4825634
2050,KLF4,1.0,2.0000355
2316,BMPR1B,1.0,0.33300975
4092,PRIMA1,1.0,0.29269975
5063,BMP10,1.0,13.14142
5574,BMP15,1.0,0.2668421
6061,GBX2,1.0,-0.23330514
7773,SLC18A3,1.0,0.0
9172,LIF,1.0,-14.687635
10554,IL6,1.0,-14.964455
10828,NGFR,1.0,-0.9077624
10892,GBX1,1.0,0.19105014
11489,SLC5A7,1.0,-0.104456544
12314,NKX2-1,1.0,-0.6305929
13499,BMP5,1.0,0.17457607
13637,BMP4,1.0,0.06724227
13881,BMP3,1.0,-0.35491955
13918,LHX8,1.0,-0.39833245
13964,RORC,1.0,-0.77657396
15128,CHAT,1.0,-0.58955556
17008,NTRK1,1.0,-0.6095134
17531,CNTF,1.0,0.08716404
18254,BDNF,1.0,-0.17180063
18952,BMP2,1.0,-0.17825031
18987,BMP7,1.0,0.040386513
20684,STAT3,0.7617490729582626,0.08667677
20716,IL6R,0.7552177028288006,0.28453138
20724,BMP8B,0.7534241414012073,-0.6704327
20772,KLF16,0.7427740487768691,0.12277971
21739,STAT5A,0.47983446828317894,-0.087043464
21902,ACHE,0.4362696945672091,0.16649331
23006,BMP8A,0.1719315560331958,-0.2870576
23404,NTRK2,0.11132771475090512,-0.03141089
24539,BMP1,0.01926734149528751,0.08910493
24723,KLF7,0.013594537702077303,0.04258148
24980,BMPER,0.008163952899980922,-0.015412815
26134,NPAS2,0.00041895066508154227,0.029682297
26504,BMP6,0.0001341770974056072,-0.8691757
26518,NGF,0.00012677181985069455,0.039474476
27019,CNTFR,2.381013758926425e-05,0.05196586
27402,BCHE,5.667870503145579e-06,-0.16840602
28129,NR1D1,2.658402312935429e-07,-0.14192556
28577,BMPR1A,2.627490097114397e-08,-0.106355265
29833,LIFR,8.440201237945853e-12,-0.09303848
31529,PCYT1A,1.931381056411161e-18,-0.11331973
31795,COLQ,8.677595316812506e-20,-0.13222818
32341,SMAD2,9.645300712760879e-23,-0.15184125
32638,NR1D2,1.452661085322031e-24,-0.15538575
32644,STAT5B,1.2293753632143248e-24,-0.15404595
32729,ARNTL2,3.7349897583174412e-25,-0.2543548
33150,ARNTL,6.1889477730595755e-28,-0.1625034
33853,STAT1,2.145015126328431e-33,-0.2566195
33980,BMP2K,1.9182494676933802e-34,-0.20028734
35192,CLOCK,8.52576710598372e-50,-0.22897907
35729,IL6ST,4.437438642279591e-62,-0.27429685
36437,LHX6,2.3314942647722226e-117,-0.3766651
